Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Gre,Pontos_Ganhos,Pontos_Acumulados
01/10/2025,San,1,1,Gre,Santos - SP,Empate,1,1
28/09/2025,Gre,3,1,Vit,Arena do Gremio,Vitoria,3,4
21/09/2025,Int,2,3,Gre,Beira,Vitoria,3,6
13/09/2025,Gre,0,1,Mir,Arena do Gremio,Derrota,0,6
31/08/2025,Fla,1,1,Gre,Maracana,Empate,1,7
23/08/2025,Gre,0,0,Cea,Arena do Gremio,Empate,1,8
17/08/2025,Atl,1,3,Gre,ARENA MRV,Empate,3,11
10/08/2025,Gre,0,1,Spo,Arena do Gremio,Derrota,0,11
02/08/2025,Flu,1,0,Gre,Maracana,Derrota,0,11
26/07/2025,Pal,1,0,Gre,Allianz Parque,Derrota,0,11
24/09/2025,Gre,1,1,Bot,Arena do Gremio,Empate,1,12
19/07/2025,Vas,1,1,Gre,Sao Januario,Empate,1,13
29/07/2025,Gre,2,1,For,Arena do Gremio,Empate,3,16
13/07/2025,Cru,4,1,Gre,Mineirao,Derrota,0,16
12/06/2025,Gre,1,1,Cor,Arena do Gremio,Empate,1,17
01/06/2025,Juv,0,2,Gre,Alfredo Jaconi,Empate,3,20
25/05/2025,Gre,1,0,Bah,Arena do Gremio,Empate,3,23
17/05/2025,Sao,2,1,Gre,Morumbi,Derrota,0,23
10/05/2025,Gre,1,1,Red,Arena do Gremio,Empate,1,24
04/05/2025,Gre,1,0,San,Arena do Gremio,Empate,3,27
27/04/2025,Vit,1,1,Gre,Manoel Barradas,Empate,1,28
19/04/2025,Gre,1,1,Int,Arena do Gremio,Empate,1,29
16/04/2025,Mir,4,1,Gre,Jose Maria de Campos Maia,Derrota,0,29
13/04/2025,Gre,0,2,Fla,Arena do Gremio,Derrota,0,29
05/04/2025,Cea,2,0,Gre,Arena Castelao,Derrota,0,29
29/03/2025,Gre,2,1,Atl,Arena do Gremio,Empate,3,32
